KEGG_ID	SMILES
C16436	CCCC(=O)NCC(=O)NC1=CC(=CC=C1)I
C00183	C1(C2C(C(C(=O)O2)O)OC1O)O
C01832	CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
C00309	C1CCC(CC1)[Si](CCCN2CCCCC2)(C3=CC=C(C=C3)F)O
C00114	C(=O)([O-])P(=O)([O-])[O-]
C00768	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
C00135	C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-]
C00897	CN(C1=CC=C(C=C1)C=CC(=O)NO)S(=O)(=O)C2=CC=CC=C2
C00208	C=CCC(C=O)C1CCCC1O
C00263	C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI
C00239	CC1=NN=C(C2=CC3=C(C=C2C1)OCO3)C4=CC=C(C=C4)N
C00362	CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C
C01413	CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
C00855	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
C00067	C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N
C16831	C1CNC(C2=C1C=CC(=C2F)O)C(C3=CC=CC=C3F)O
C02983	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
C11143	CCC1C(=O)N(C(=O)N(C1=O)C2CCCCC2)C3CCCCC3
C00029	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
C01132	CC(C(=O)O)NC(=O)C(CCSC)NC=O
C15025	CCOC(=O)C1=C(C2=C(C=CC=C2S1)F)CN3CCCC(C3)O
C01413	CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
C00216	COC1=CC=CC=C1OCC(CO)O
C01530	CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
C14179	CCC(C)C1=CC=CC=C1NC(=O)C(C)OC(=O)CCC2=NC3=CC=CC=C3S2
C00305	CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
